id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2239191,"Spacious victorian, bright and airy near downtown.",1239512,Zorab,,Clayton,39.76768,-104.9551,Entire home/apt,178,3,60,2021-01-02,0.85,1,362
2243316,"BEST! Location, open, quiet, CLOROX CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,62,30,26,2021-03-12,0.30,6,345
2267500,Quiet Highlands Cottage,7961148,Cory,,West Highland,39.76567,-105.0348,Entire home/apt,115,29,246,2019-09-21,2.87,1,33
2361919,The Cloisters at Berkeley,5811115,Annette,,Berkeley,39.7796,-105.03859,Entire home/apt,70,30,38,2021-03-01,0.44,4,116
2386289,Sunny Sky Loft in Highlands,184771,Melanie,,West Highland,39.76777,-105.03529,Entire home/apt,130,3,93,2020-10-12,1.17,1,0
2441900,Remodeled Victorian Condo!,12482307,Jeremy,,City Park West,39.74296,-104.96941,Entire home/apt,48,90,3,2014-05-08,0.04,2,320
2466830,HISTORIC COTTAGE IN BONNIE BRAE,6896064,,,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300,2,9,2021-02-24,0.15,1,363
2467260,Parkside 5280,11000035,Ryan,,City Park,39.74241,-104.95097,Entire home/apt,121,1,435,2021-03-15,5.17,1,44
2487185,Beautiful!! Just Minutes from Downtown!  Hot Tub!,4706233,Jeffrey,,Athmar Park,39.7038,-105.0116,Entire home/apt,199,3,13,2021-03-26,0.30,3,226
2599115,Brand New Modern Stapleton Home,10128382,Kerry,,Stapleton,39.75778,-104.85861,Entire home/apt,187,2,144,2021-03-16,1.70,1,0
2653512,Amazing Guesthouse-Perfect Lohi/Highland Location,5817350,Marcie,,Highland,39.76382,-105.01973,Entire home/apt,139,29,158,2020-12-31,2.14,1,236
2817786,Private Queen Room w Ensuite Bath,14414164,Mary,,Five Points,39.74687,-104.97561,Private room,74,29,147,2019-09-17,1.76,1,336
2827887,Cozy Cottage in Lower Highlands 2BR,5181201,Danno & Rachel,,Highland,39.7682,-105.00232,Entire home/apt,150,30,20,2016-10-18,0.25,3,289
2875696,"Cozy condo, 700 sq ft. near Lowry",14699024,Julie,,Windsor,39.70705,-104.8916,Entire home/apt,75,180,13,2020-08-08,0.16,1,181
2908978,Peaceful Queen in Congress Park,9402581,Rita,,Congress Park,39.73396,-104.94702,Private room,79,29,203,2020-11-15,2.51,2,365
2942068,Cozy Cottage in Lo Highlands Mr bed,5181201,Danno & Rachel,,Highland,39.76794,-105.00146,Private room,106,30,10,2016-09-11,0.12,3,287
2953770,Amazing Condo - in Denver's heart,9236134,Mason,,CBD,39.74399,-104.99495,Entire home/apt,225,31,23,2017-06-11,0.28,1,88
2957097,Minutes from Downtown!  Beautifully Remodeled!,4706233,Jeffrey,,Athmar Park,39.70304,-105.01177,Entire home/apt,199,3,132,2021-03-14,1.60,3,227
2960513,Historic 1800s townhouse @ downtown by Superhost,2544705,Gustavo,,Baker,39.72287,-104.995,Entire home/apt,139,30,85,2019-10-06,1.72,1,33
2975710,Sloan's Lake Highlands Bungalow,15178224,Jennifer,,West Highland,39.75936,-105.04792,Entire home/apt,250,29,19,2021-03-05,0.23,1,103
2979736,Large designer house near downtown!  Walk to all!,14178014,John,,Baker,39.72403,-104.99283,Entire home/apt,336,1,130,2021-02-28,1.56,4,167
2998222,Quiet Kirk Street Vacation Rental,15283636,Dong,,Gateway - Green Valley Ranch,39.78271,-104.74694,Entire home/apt,311,2,43,2021-03-01,0.52,1,347
3094167,In the Heart of Highlands -  Staycation Retreat!!!,8410190,Deanna,,West Highland,39.76169,-105.03382,Entire home/apt,150,30,32,2021-02-28,0.39,6,65
3095906,"New Deals for Sunny, Safe & Clean Room in Denver!",1655595,Shana,,Indian Creek,39.68931,-104.90138,Private room,44,30,32,2020-11-30,0.45,1,84
3138055,Classic Home on Capitol Hill,15933305,Sarah,,Capitol Hill,39.73193,-104.97878,Entire home/apt,185,29,21,2021-01-03,0.63,1,79
3150813,Modern Urban Oasis in Rino,135470,Mark,,Cole,39.77101,-104.96639,Entire home/apt,518,1,196,2021-02-05,2.38,1,285
3183154,2 BD House in Lower Highland,13796890,German,,Highland,39.76675,-105.00161,Entire home/apt,125,5,36,2020-12-26,0.45,1,0
3231657,Authentic loft in Lodo across from Union Station,16356824,Claus,,Union Station,39.75363,-104.99947,Entire home/apt,190,30,37,2020-03-31,0.45,2,89
3280195,4 BR Close to Downtown & Cheesman / City Park,16579406,Daniel,,Congress Park,39.73695,-104.94698,Entire home/apt,1000,3,3,2020-12-19,0.21,2,230
3334447,"Gorgeous 2 BR, 2 BA Townhome!",16835411,,,Five Points,39.75049,-104.97555,Entire home/apt,133,4,71,2021-02-28,0.87,1,38
3338717,Private basement apartment on park.,16853725,Nanci,,Rosedale,39.67652,-104.97801,Entire home/apt,93,2,104,2021-01-01,1.26,1,278
3341556,1BD City Park Carriage House,16865529,Tim,,City Park West,39.74972,-104.97222,Entire home/apt,55,30,21,2020-12-21,0.26,2,120
3349024,RiNo/City Park Family Home with a Gym,16791762,Dawnelle,,Cole,39.76272,-104.96044,Entire home/apt,147,3,126,2021-02-28,2.15,1,8
3404692,Modern Oasis Near RiNo Arts District,180156649,Jacob,,Whittier,39.7574,-104.96713,Entire home/apt,159,2,107,2021-03-23,1.31,1,36
3458369,Carriage House-Highlands Square,12969161,Jamie,,West Highland,39.76178,-105.03885,Entire home/apt,111,30,254,2020-10-20,3.11,1,143
3463164,"CountryClub home, Quiet, Safe, Gated, Exclusive",10105976,Mike And Molly,,Fort Logan,39.64468,-105.0653,Private room,77,31,12,2019-05-17,0.17,1,88
3479122,Unique 3-Level Loft in Famous Ballpark Neighborhood,17524202,Sam,,Five Points,39.75469,-104.98785,Entire home/apt,105,30,481,2020-06-02,5.85,1,5
3487191,Carriage House in Historic Baker,9806411,Nathen,,Baker,39.72267,-104.98953,Entire home/apt,139,4,234,2020-03-20,2.94,1,202
3495498,In Highlands w/Garage!,17599678,Mallory,,Highland,39.76889,-105.02156,Entire home/apt,179,2,118,2020-12-26,1.47,1,42
3561443,SunnysideSweetSpot:Work Remote Here!!,12145221,Michael,,Sunnyside,39.77247,-105.01975,Entire home/apt,146,30,15,2019-01-01,0.21,2,84
3562277,Newly remodeled ground level basement 3 BR,17831791,Michelle,,University,39.6631,-104.96774,Private room,125,31,10,2020-08-16,0.12,1,363
3605358,Room/Bath in Historic Mansion,18168193,Georgia,,Capitol Hill,39.73308,-104.97996,Private room,115,29,172,2020-10-18,2.11,1,365
